reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
4041b377-b5dd-4f58-8610-80f0502e5b8f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi yang menarik, kita bisa berbagi cerita dan sharing banyak hal denga pengguna lainnya. Ada fitur editing yang mudah diaplikasikan, membantu sekali untuk kreator pemula. Sayangnya, postingan yang muncul seringkali postingan lama, bukan yang terbaru. Semoga segera update agar postingan baru muncul di beranda paling atas.",5,1111,7.9.5,2025-01-30 12:22:40,,,7.9.5
3591ad33-9acb-45ef-90de-9d1a400d80ea,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"kasih 4dlu klo bagus kaya tiktok dan waveful nnti tak kasih bintang5 ,rada susah buat pertemanan sama fiturnya blm paham klo pemula ,klo di waveful kan simple pemula saja gampang buat nyari followers ,udah gitu dollar nya cepat monet",4,12,8.4.0,2025-03-30 11:36:49,,,8.4.0
132838cf-0fda-41f6-bb99-d5acb53f9c18,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Balikin akun aku yg lama. Terserah kalian mau join sm tiktok atau gak, tp please gausah egois begini aplikasi yg tadinya mempermudah jd mempersulit. Mana maksa bgt login pake tiktok, akun yg tadinya ada followers, konten, dll jd hilang gt aja. Mau pulihkan akun juga ga bisa! Makin benci aja sm tiktok kesannya semua harus tertuju sm tiktok! Sampe aplikasi lemon8 juga dikuasai!!",1,85,7.9.5,2025-02-10 13:17:23,,,7.9.5
9b500c79-f584-4ffd-aa84-ddd953f30bf1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sebelumnya suka dengan aplikasi ini, banyak info dan tips menarik. Tapi gak suka bgt setelah pembaharuan dan dipaksa login dengan tiktok. Tolong kembalikan fitur login dengan email, karna tidak semua org pakai tiktok",1,75,7.9.5,2025-01-29 18:03:14,,,7.9.5
3b102fe2-e915-48e5-b15f-393aa7cfd580,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Kecewa ada kebijakan baru login harus pakai tiktok, sedangkan aku ga instal tiktok, gakmuat memori, juga gasuka tiktok tp pengen banget masuk lemon8 kayak dulu karna suka sama artikel"" Dan hack. Dan gkada jalan buat bisa masuk,",4,36,8.1.5,2025-03-03 21:09:00,,,8.1.5
161bb9cf-1656-4bf0-a3a8-d949a93dac3c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Okelah kerjasama dengan tiktok tapi kenapa malah jatuhnya bikin akun baru, following jadi 0, komentar yang sebelumnya belum sempat terbaca jadi hilang. Berusaha memulihkan tapi tak bisa. Harusnya kalau memang kerjasama ya tautkan aja / gabungkan saja tanpa menghilangkan jejak akun yang lama. Kecewa banget. :( :(",1,44,7.9.5,2025-01-29 09:30:30,,,7.9.5
42e4b0ff-69e9-4cc3-99d2-e29eeffe2ff1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi Kreatif & Inspiratif Lemon8 adalah platform yang sangat menarik untuk berbagi inspirasi dan menemukan konten kreatif. Selain itu, fitur edit dan tata letaknya memudahkan pengguna untuk membuat konten yang menarik. Cocok banget buat yang suka berbagi tips, pengalaman, atau sekadar mencari inspirasi baru. Semoga ke depannya semakin berkembang dengan fitur-fitur baru yang lebih keren 🌟",5,630,8.1.5,2025-03-01 08:30:13,,,8.1.5
0097823b-71cc-4f04-8b5b-6ada8c92d1f4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"kenapa harus digabung sama tiktok? seengganya kalau uda gabung jangan ilangin akun user kalian yg dulu dong. kecewa banget karena semenjak sama tiktok akunku jadi ilang, padahal uda banyak hal penting yang uda disimpan disana. mau masuk ulang malah gabisa, minus bgt aplikasi ini",1,24,7.9.5,2025-02-20 11:09:24,,,7.9.5
b1d01160-fc18-457b-b426-e951669b1661,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sebenarnya suka sama aplikasi ini. Awalnya juga saya kasih bintang 5, tapi karena sekarang harus pakai Tiktok jadi sebel. Nggak semua orang suka tiktok, nggak semua orang mau pake tiktok. Mungkin saya tetap milih unistall lemon daripada harus instal tiktok.",1,26,7.9.5,2025-02-10 08:07:39,,,7.9.5
5d86cc2d-0ffb-428b-a375-64d73bc8c963,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"padahal dulu bagus, aplikasi nya mudah digunakan, dan membantu banget buat cari tips sehari-hari. tapi semenjak harus login menggunakan aplikasi tikt*k jadi kurang nyaman pake aplikasi ini, apalagi untuk yang hp nya tidak support aplikasi tersebut. udah sih itu aja, mksh.",3,16,7.9.5,2025-03-08 12:51:01,,,7.9.5
